Title,Year,link,Cast & Director,Rating,Number of reviews
The Shawshank Redemption,1994,https://www.imdb.com/title/tt0111161/,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,2188325
The Godfather,1972,https://www.imdb.com/title/tt0068646/,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.1,1507727
The Godfather: Part II,1974,https://www.imdb.com/title/tt0071562/,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,1055945
The Dark Knight,2008,https://www.imdb.com/title/tt0468569/,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,2171102
12 Angry Men,1957,https://www.imdb.com/title/tt0050083/,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9,638003
Schindler's List,1993,https://www.imdb.com/title/tt0108052/,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,1142372
The Lord of the Rings: The Return of the King,2003,https://www.imdb.com/title/tt0167260/,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,1556632
Pulp Fiction,1994,https://www.imdb.com/title/tt0110912/,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.9,1719419
"Il buono, il brutto, il cattivo",1966,https://www.imdb.com/title/tt0060196/,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,649228
The Lord of the Rings: The Fellowship of the Ring,2001,https://www.imdb.com/title/tt0120737/,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,1568426
Fight Club,1999,https://www.imdb.com/title/tt0137523/,"David Fincher (dir.), Brad Pitt, Edward Norton",8.8,1747969
Forrest Gump,1994,https://www.imdb.com/title/tt0109830/,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8,1687841
Inception,2010,https://www.imdb.com/title/tt1375666/,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,1920049
Star Wars: Episode V - The Empire Strikes Back,1980,https://www.imdb.com/title/tt0080684/,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,1099104
The Lord of the Rings: The Two Towers,2002,https://www.imdb.com/title/tt0167261/,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,1405131
The Matrix,1999,https://www.imdb.com/title/tt0133093/,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.6,1575739
Goodfellas,1990,https://www.imdb.com/title/tt0099685/,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.6,951700
One Flew Over the Cuckoo's Nest,1975,https://www.imdb.com/title/tt0073486/,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6,863077
Shichinin no samurai,1954,https://www.imdb.com/title/tt0047478/,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,296291
Se7en,1995,https://www.imdb.com/title/tt0114369/,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,1347458
Cidade de Deus,2002,https://www.imdb.com/title/tt0317248/,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,666248
La vita è bella,1997,https://www.imdb.com/title/tt0118799/,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6,579903
The Silence of the Lambs,1991,https://www.imdb.com/title/tt0102926/,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6,1187331
It's a Wonderful Life,1946,https://www.imdb.com/title/tt0038650/,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,375681
Gisaengchung,2019,https://www.imdb.com/title/tt6751668/,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.6,204703
Star Wars,1977,https://www.imdb.com/title/tt0076759/,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.6,1171294
Saving Private Ryan,1998,https://www.imdb.com/title/tt0120815/,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.5,1160505
Sen to Chihiro no kamikakushi,2001,https://www.imdb.com/title/tt0245429/,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,586417
The Green Mile,1999,https://www.imdb.com/title/tt0120689/,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.5,1067189
Interstellar,2014,https://www.imdb.com/title/tt0816692/,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5,1373313
Léon,1994,https://www.imdb.com/title/tt0110413/,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,969505
The Usual Suspects,1995,https://www.imdb.com/title/tt0114814/,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5,938832
Seppuku,1962,https://www.imdb.com/title/tt0056058/,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.5,30112
The Lion King,1994,https://www.imdb.com/title/tt0110357/,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,884788
Joker,2019,https://www.imdb.com/title/tt7286456/,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.5,662563
American History X,1998,https://www.imdb.com/title/tt0120586/,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,985116
Terminator 2: Judgment Day,1991,https://www.imdb.com/title/tt0103064/,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,947070
Back to the Future,1985,https://www.imdb.com/title/tt0088763/,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,979484
The Pianist,2002,https://www.imdb.com/title/tt0253474/,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,676147
Modern Times,1936,https://www.imdb.com/title/tt0027977/,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5,201342
Psycho,1960,https://www.imdb.com/title/tt0054215/,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,562972
Gladiator,2000,https://www.imdb.com/title/tt0172495/,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,1263603
